010601 V- 2PAD-P-- Προσέχετε Προσέχετε προσέχετε προσέχω
010623 N- ----NSM- ὀφθαλμός ὀφθαλμός ὀφθαλμός ὀφθαλμός
010623 RP ----GS-- σου σου σου σύ
010623 A- ----NSM- πονηρὸς πονηρὸς πονηρός πονηρός
010623 V- 3PAS-S-- ᾖ, ᾖ ᾖ εἰμί
010623 A- ----NSN- ὅλον ὅλον ὅλον ὅλος
010623 RA ----NSN- τὸ τὸ τό ὁ
010623 N- ----NSN- σῶμά σῶμά σῶμα σῶμα
010623 RP ----GS-- σου σου σου σύ
010623 A- ----NSN- σκοτεινὸν σκοτεινὸν σκοτεινόν σκοτεινός
010623 V- 3FMI-S-- ἔσται. ἔσται ἔσται εἰμί
010623 C- -------- εἰ εἰ εἰ εἰ
010623 C- -------- οὖν οὖν οὖν οὖν
010623 RA ----NSN- τὸ τὸ τό ὁ
010623 N- ----NSN- φῶς φῶς φῶς φῶς
010623 RA ----NSN- τὸ τὸ τό ὁ
010623 P- -------- ἐν ἐν ἐν ἐν
010623 RP ----DS-- σοὶ σοὶ σοί σύ
010623 N- ----NSN- σκότος σκότος σκότος σκότος
010623 V- 3PAI-S-- ἐστίν, ἐστίν ἐστί(ν) εἰμί
010623 RA ----NSN- τὸ τὸ τό ὁ
010623 N- ----NSN- σκότος σκότος σκότος σκότος
010623 RI ----NSN- πόσον. πόσον πόσον πόσος
010624 A- ----NSM- Οὐδεὶς Οὐδεὶς οὐδείς οὐδείς
010624 V- 3PMI-S-- δύναται δύναται δύναται δύναμαι
010624 A- ----DPM- δυσὶ δυσὶ δυσί(ν) δύο
010624 N- ----DPM- κυρίοις κυρίοις κυρίοις κύριος
010624 V- -PAN---- δουλεύειν· δουλεύειν δουλεύειν δουλεύω
010624 C- -------- ἢ ἢ ἤ ἤ
010624 C- -------- γὰρ γὰρ γάρ γάρ
010624 RA ----ASM- τὸν τὸν τόν ὁ
010624 A- ----ASM- ἕνα ἕνα ἕνα εἷς
010624 V- 3FAI-S-- μισήσει μισήσει μισήσει μισέω
010624 C- -------- καὶ καὶ καί καί
010624 RA ----ASM- τὸν τὸν τόν ὁ
010624 A- ----ASM- ἕτερον ἕτερον ἕτερον ἕτερος
010624 V- 3FAI-S-- ἀγαπήσει, ἀγαπήσει ἀγαπήσει ἀγαπάω
010624 C- -------- ἢ ἢ ἤ ἤ
010624 A- ----GSM- ἑνὸς ἑνὸς ἑνός εἷς
010624 V- 3FMI-S-- ἀνθέξεται ἀνθέξεται ἀνθέξεται ἀντέχομαι
010624 C- -------- καὶ καὶ καί καί
010624 RA ----GSM- τοῦ τοῦ τοῦ ὁ
010624 A- ----GSM- ἑτέρου ἑτέρου ἑτέρου ἕτερος
010624 V- 3FAI-S-- καταφρονήσει. καταφρονήσει καταφρονήσει καταφρονέω
010624 D- -------- οὐ οὐ οὐ οὐ
010624 V- 2PMI-P-- δύνασθε δύνασθε δύνασθε δύναμαι
010624 N- ----DSM- θεῷ θεῷ θεῷ θεός
010624 V- -PAN---- δουλεύειν δουλεύειν δουλεύειν δουλεύω
010624 C- -------- καὶ καὶ καί καί
010624 N- ----DSM- μαμωνᾷ. μαμωνᾷ μαμωνᾷ μαμωνᾶς
010625 P- -------- Διὰ Διὰ διά διά
010625 RD ----ASN- τοῦτο τοῦτο τοῦτο οὗτος
010625 V- 1PAI-S-- λέγω λέγω λέγω λέγω
010625 RP ----DP-- ὑμῖν· ὑμῖν ὑμῖν σύ
010625 D- -------- μὴ μὴ μή μή
010625 V- 2PAD-P-- μεριμνᾶτε μεριμνᾶτε μεριμνᾶτε μεριμνάω
010625 RA ----DSF- τῇ τῇ τῇ ὁ
010625 N- ----DSF- ψυχῇ ψυχῇ ψυχῇ ψυχή
010625 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
010625 RI ----ASN- τί τί τί τίς
010625 V- 2AAS-P-- φάγητε, φάγητε φάγητε ἐσθίω
010625 C- -------- μηδὲ μηδὲ μηδέ μηδέ
010625 RA ----DSN- τῷ τῷ τῷ ὁ
010625 N- ----DSN- σώματι σώματι σώματι σῶμα
010625 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
010625 RI ----ASN- τί τί τί τίς
010625 V- 2AMS-P-- ἐνδύσησθε· ἐνδύσησθε ἐνδύσησθε ἐνδύω
010625 X- -------- οὐχὶ οὐχὶ οὐχί οὐχί
010625 RA ----NSF- ἡ ἡ ἡ ὁ
010625 N- ----NSF- ψυχὴ ψυχὴ ψυχή ψυχή
010625 A- ----NSNC πλεῖόν πλεῖόν πλεῖον πολύς
010625 V- 3PAI-S-- ἐστι ἐστι ἐστί(ν) εἰμί
010625 RA ----GSF- τῆς τῆς τῆς ὁ
010625 N- ----GSF- τροφῆς τροφῆς τροφῆς τροφή
010625 C- -------- καὶ καὶ καί καί
010625 RA ----NSN- τὸ τὸ τό ὁ
010625 N- ----NSN- σῶμα σῶμα σῶμα σῶμα
010625 RA ----GSN- τοῦ τοῦ τοῦ ὁ
010625 N- ----GSN- ἐνδύματος; ἐνδύματος ἐνδύματος ἔνδυμα
010626 V- 2AAD-P-- ἐμβλέψατε ἐμβλέψατε ἐμβλέψατε ἐμβλέπω
010626 P- -------- εἰς εἰς εἰς εἰς
010626 RA ----APN- τὰ τὰ τά ὁ
010626 A- ----APN- πετεινὰ πετεινὰ πετεινά πετεινόν
010626 RA ----GSM- τοῦ τοῦ τοῦ ὁ
010626 N- ----GSM- οὐρανοῦ οὐρανοῦ οὐρανοῦ οὐρανός
010626 C- -------- ὅτι ὅτι ὅτι ὅτι
010626 D- -------- οὐ οὐ οὐ οὐ
010626 V- 3PAI-P-- σπείρουσιν σπείρουσιν σπείρουσι(ν) σπείρω
010626 C- -------- οὐδὲ οὐδὲ οὐδέ οὐδέ
010626 V- 3PAI-P-- θερίζουσιν θερίζουσιν θερίζουσι(ν) θερίζω
010626 C- -------- οὐδὲ οὐδὲ οὐδέ οὐδέ
010626 V- 3PAI-P-- συνάγουσιν συνάγουσιν συνάγουσι(ν) συνάγω
010626 P- -------- εἰς εἰς εἰς εἰς
010626 N- ----APF- ἀποθήκας, ἀποθήκας ἀποθήκας ἀποθήκη
010626 C- -------- καὶ καὶ καί καί
010626 RA ----NSM- ὁ ὁ ὁ ὁ
010626 N- ----NSM- πατὴρ πατὴρ πατήρ πατήρ
010626 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
010626 RA ----NSM- ὁ ὁ ὁ ὁ
010626 A- ----NSM- οὐράνιος οὐράνιος οὐράνιος οὐράνιος
010626 V- 3PAI-S-- τρέφει τρέφει τρέφει τρέφω
010626 RP ----APN- αὐτά· αὐτά αὐτά αὐτός
010626 X- -------- οὐχ οὐχ οὐ οὐ
010626 RP ----NP-- ὑμεῖς ὑμεῖς ὑμεῖς σύ
010626 D- -------- μᾶλλον μᾶλλον μᾶλλον μᾶλλον
010626 V- 2PAI-P-- διαφέρετε διαφέρετε διαφέρετε διαφέρω
010626 RP ----GPN- αὐτῶν; αὐτῶν αὐτῶν αὐτός
010627 RI ----NSM- τίς τίς τίς τίς
010627 C- -------- δὲ δὲ δέ δέ
010627 P- -------- ἐξ ἐξ ἐκ ἐκ
010627 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
010627 V- -PAPNSM- μεριμνῶν μεριμνῶν μεριμνῶν μεριμνάω
010627 V- 3PMI-S-- δύναται δύναται δύναται δύναμαι
010627 V- -AAN---- προσθεῖναι προσθεῖναι προσθεῖναι προστίθημι
010627 P- -------- ἐπὶ ἐπὶ ἐπί ἐπί
010627 RA ----ASF- τὴν τὴν τήν ὁ
010627 N- ----ASF- ἡλικίαν ἡλικίαν ἡλικίαν ἡλικία
010627 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
010627 N- ----ASM- πῆχυν πῆχυν πῆχυν πῆχυς
010627 A- ----ASM- ἕνα; ἕνα ἕνα εἷς
010628 C- -------- καὶ καὶ καί καί
010628 P- -------- περὶ περὶ περί περί
010628 N- ----GSN- ἐνδύματος ἐνδύματος ἐνδύματος ἔνδυμα
010628 RI ----ASN- τί τί τί τίς
010628 V- 2PAI-P-- μεριμνᾶτε; μεριμνᾶτε μεριμνᾶτε μεριμνάω
010628 V- 2AAD-P-- καταμάθετε καταμάθετε καταμάθετε καταμανθάνω
010628 RA ----APN- τὰ τὰ τά ὁ
010628 N- ----APN- κρίνα κρίνα κρίνα κρίνον
010628 RA ----GSM- τοῦ τοῦ τοῦ ὁ
010628 N- ----GSM- ἀγροῦ ἀγροῦ ἀγροῦ ἀγρός
010628 D- -------- πῶς πῶς πῶς πῶς
010628 V- 3PAI-P-- αὐξάνουσιν· αὐξάνουσιν αὐξάνουσι(ν) αὐξάνω
010628 D- -------- οὐ οὐ οὐ οὐ
010628 V- 3PAI-P-- κοπιῶσιν κοπιῶσιν κοπιῶσι(ν) κοπιάω
010628 C- -------- οὐδὲ οὐδὲ οὐδέ οὐδέ
010628 V- 3PAI-P-- νήθουσιν· νήθουσιν νήθουσι(ν) νήθω
010629 V- 1PAI-S-- λέγω λέγω λέγω λέγω
010629 C- -------- δὲ δὲ δέ δέ
010629 RP ----DP-- ὑμῖν ὑμῖν ὑμῖν σύ
010629 C- -------- ὅτι ὅτι ὅτι ὅτι
010629 D- -------- οὐδὲ οὐδὲ οὐδέ οὐδέ
010629 N- ----NSM- Σολομὼν Σολομὼν Σολομών Σολομών
010629 P- -------- ἐν ἐν ἐν ἐν
010629 A- ----DSF- πάσῃ πάσῃ πάσῃ πᾶς
010629 RA ----DSF- τῇ τῇ τῇ ὁ
010629 N- ----DSF- δόξῃ δόξῃ δόξῃ δόξα
010629 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
010629 V- 3AMI-S-- περιεβάλετο περιεβάλετο περιεβάλετο περιβάλλω
010629 C- -------- ὡς ὡς ὡς ὡς
010629 A- ----NSN- ἓν ἓν ἕν εἷς
010629 RD ----GPN- τούτων. τούτων τούτων οὗτος
010630 C- -------- εἰ εἰ εἰ εἰ
010630 C- -------- δὲ δὲ δέ δέ
010630 RA ----ASM- τὸν τὸν τόν ὁ
010630 N- ----ASM- χόρτον χόρτον χόρτον χόρτος
010630 RA ----GSM- τοῦ τοῦ τοῦ ὁ
010630 N- ----GSM- ἀγροῦ ἀγροῦ ἀγροῦ ἀγρός
010630 D- -------- σήμερον σήμερον σήμερον σήμερον
010630 V- -PAPASM- ὄντα ὄντα ὄντα εἰμί
010630 C- -------- καὶ καὶ καί καί
010630 D- -------- αὔριον αὔριον αὔριον αὔριον
010630 P- -------- εἰς εἰς εἰς εἰς
010630 N- ----ASM- κλίβανον κλίβανον κλίβανον κλίβανος
010630 V- -PPPASM- βαλλόμενον βαλλόμενον βαλλόμενον βάλλω
010630 RA ----NSM- ὁ ὁ ὁ ὁ
010630 N- ----NSM- θεὸς θεὸς θεός θεός
010630 D- -------- οὕτως οὕτως οὕτω(ς) οὕτω(ς)
010630 V- 3PAI-S-- ἀμφιέννυσιν, ἀμφιέννυσιν ἀμφιέννυσι(ν) ἀμφιέννυμι
010630 X- -------- οὐ οὐ οὐ οὐ
010630 A- ----DSN- πολλῷ πολλῷ πολλῷ πολύς
010630 D- -------- μᾶλλον μᾶλλον μᾶλλον μᾶλλον
010630 RP ----AP-- ὑμᾶς, ὑμᾶς ὑμᾶς σύ
010630 A- ----VPM- ὀλιγόπιστοι; ὀλιγόπιστοι ὀλιγόπιστοι ὀλιγόπιστος
010631 D- -------- μὴ μὴ μή μή
010631 C- -------- οὖν οὖν οὖν οὖν
010631 V- 2AAS-P-- μεριμνήσητε μεριμνήσητε μεριμνήσητε μεριμνάω
010631 V- -PAPNPM- λέγοντες· λέγοντες λέγοντες λέγω
010631 RI ----ASN- Τί Τί τί τίς
010631 V- 1AAS-P-- φάγωμεν; φάγωμεν φάγωμεν ἐσθίω
010631 C- -------- ἤ· ἤ ἤ ἤ
010631 RI ----ASN- Τί Τί τί τίς
010631 V- 1AAS-P-- πίωμεν; πίωμεν πίωμεν πίνω
010631 C- -------- ἤ· ἤ ἤ ἤ
010631 RI ----ASN- Τί Τί τί τίς
010631 V- 1AMS-P-- περιβαλώμεθα; περιβαλώμεθα περιβαλώμεθα περιβάλλω
010632 A- ----APN- πάντα πάντα πάντα πᾶς
010632 C- -------- γὰρ γὰρ γάρ γάρ
010632 RD ----APN- ταῦτα ταῦτα ταῦτα οὗτος
010632 RA ----NPN- τὰ τὰ τά ὁ
010632 N- ----NPN- ἔθνη ἔθνη ἔθνη ἔθνος
010632 V- 3PAI-P-- ἐπιζητοῦσιν· ἐπιζητοῦσιν ἐπιζητοῦσι(ν) ἐπιζητέω
010632 V- 3XAI-S-- οἶδεν οἶδεν οἶδε(ν) οἶδα
010632 C- -------- γὰρ γὰρ γάρ γάρ
010632 RA ----NSM- ὁ ὁ ὁ ὁ
010632 N- ----NSM- πατὴρ πατὴρ πατήρ πατήρ
010632 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
010632 RA ----NSM- ὁ ὁ ὁ ὁ
010632 A- ----NSM- οὐράνιος οὐράνιος οὐράνιος οὐράνιος
010632 C- -------- ὅτι ὅτι ὅτι ὅτι
010632 V- 2PAI-P-- χρῄζετε χρῄζετε χρῄζετε χρῄζω
010632 RD ----GPN- τούτων τούτων τούτων οὗτος
010632 A- ----GPN- ἁπάντων. ἁπάντων ἁπάντων ἅπας
010633 V- 2PAD-P-- ζητεῖτε ζητεῖτε ζητεῖτε ζητέω
010633 C- -------- δὲ δὲ δέ δέ
010633 A- ----ASN- πρῶτον πρῶτον πρῶτον πρῶτος
010633 RA ----ASF- τὴν τὴν τήν ὁ
010633 N- ----ASF- βασιλείαν βασιλείαν βασιλείαν βασιλεία
010633 C- -------- καὶ καὶ καί καί
010633 RA ----ASF- τὴν τὴν τήν ὁ
010633 N- ----ASF- δικαιοσύνην δικαιοσύνην δικαιοσύνην δικαιοσύνη
010633 RP ----GSM- αὐτοῦ, αὐτοῦ αὐτοῦ αὐτός
010633 C- -------- καὶ καὶ καί καί
010633 RD ----NPN- ταῦτα ταῦτα ταῦτα οὗτος
010633 A- ----NPN- πάντα πάντα πάντα πᾶς
010633 V- 3FPI-S-- προστεθήσεται προστεθήσεται προστεθήσεται προστίθημι
010633 RP ----DP-- ὑμῖν. ὑμῖν ὑμῖν σύ
010634 D- -------- μὴ μὴ μή μή
010634 C- -------- οὖν οὖν οὖν οὖν
010634 V- 2AAS-P-- μεριμνήσητε μεριμνήσητε μεριμνήσητε μεριμνάω
010634 P- -------- εἰς εἰς εἰς εἰς
010634 RA ----ASF- τὴν τὴν τήν ὁ
010634 D- -------- αὔριον, αὔριον αὔριον αὔριον
010634 RA ----NSF- ἡ ἡ ἡ ὁ
010634 C- -------- γὰρ γὰρ γάρ γάρ
010634 D- -------- αὔριον αὔριον αὔριον αὔριον
010634 V- 3FAI-S-- μεριμνήσει μεριμνήσει μεριμνήσει μεριμνάω
010634 RP ----GSF- αὑτῆς· αὑτῆς αὑτῆς ἑαυτοῦ
010634 A- ----NSN- ἀρκετὸν ἀρκετὸν ἀρκετόν ἀρκετός
010634 RA ----DSF- τῇ τῇ τῇ ὁ
010634 N- ----DSF- ἡμέρᾳ ἡμέρᾳ ἡμέρᾳ ἡμέρα
010634 RA ----NSF- ἡ ἡ ἡ ὁ
010634 N- ----NSF- κακία κακία κακία κακία
010634 RP ----GSF- αὐτῆς. αὐτῆς αὐτῆς αὐτός
