071101 N- ----NPM- μιμηταί μιμηταί μιμηταί μιμητής
071126 N- ----ASM- θάνατον θάνατον θάνατον θάνατος
071126 RA ----GSM- τοῦ τοῦ τοῦ ὁ
071126 N- ----GSM- κυρίου κυρίου κυρίου κύριος
071126 V- 2PAI-P-- καταγγέλλετε, καταγγέλλετε καταγγέλλετε καταγγέλλω
071126 P- -------- ἄχρι ἄχρι ἄχρι ἄχρι
071126 RR ----GSM- οὗ οὗ οὗ ὅς
071126 V- 3AAS-S-- ἔλθῃ. ἔλθῃ ἔλθῃ ἔρχομαι
071127 C- -------- Ὥστε Ὥστε ὥστε ὥστε
071127 RR ----NSM- ὃς ὃς ὅς ὅς
071127 X- -------- ἂν ἂν ἄν ἄν
071127 V- 3PAS-S-- ἐσθίῃ ἐσθίῃ ἐσθίῃ ἐσθίω
071127 RA ----ASM- τὸν τὸν τόν ὁ
071127 N- ----ASM- ἄρτον ἄρτον ἄρτον ἄρτος
071127 C- -------- ἢ ἢ ἤ ἤ
071127 V- 3PAS-S-- πίνῃ πίνῃ πίνῃ πίνω
071127 RA ----ASN- τὸ τὸ τό ὁ
071127 N- ----ASN- ποτήριον ποτήριον ποτήριον ποτήριον
071127 RA ----GSM- τοῦ τοῦ τοῦ ὁ
071127 N- ----GSM- κυρίου κυρίου κυρίου κύριος
071127 D- -------- ἀναξίως, ἀναξίως ἀναξίως ἀναξίως
071127 A- ----NSM- ἔνοχος ἔνοχος ἔνοχος ἔνοχος
071127 V- 3FMI-S-- ἔσται ἔσται ἔσται εἰμί
071127 RA ----GSN- τοῦ τοῦ τοῦ ὁ
071127 N- ----GSN- σώματος σώματος σώματος σῶμα
071127 C- -------- καὶ καὶ καί καί
071127 RA ----GSN- τοῦ τοῦ τοῦ ὁ
071127 N- ----GSN- αἵματος αἵματος αἵματος αἷμα
071127 RA ----GSM- τοῦ τοῦ τοῦ ὁ
071127 N- ----GSM- κυρίου. κυρίου κυρίου κύριος
071128 V- 3PAD-S-- δοκιμαζέτω δοκιμαζέτω δοκιμαζέτω δοκιμάζω
071128 C- -------- δὲ δὲ δέ δέ
071128 N- ----NSM- ἄνθρωπος ἄνθρωπος ἄνθρωπος ἄνθρωπος
071128 RP ----ASM- ἑαυτόν, ἑαυτόν ἑαυτόν ἑαυτοῦ
071128 C- -------- καὶ καὶ καί καί
071128 D- -------- οὕτως οὕτως οὕτω(ς) οὕτω(ς)
071128 P- -------- ἐκ ἐκ ἐκ ἐκ
071128 RA ----GSM- τοῦ τοῦ τοῦ ὁ
071128 N- ----GSM- ἄρτου ἄρτου ἄρτου ἄρτος
071128 V- 3PAD-S-- ἐσθιέτω ἐσθιέτω ἐσθιέτω ἐσθίω
071128 C- -------- καὶ καὶ καί καί
071128 P- -------- ἐκ ἐκ ἐκ ἐκ
071128 RA ----GSN- τοῦ τοῦ τοῦ ὁ
071128 N- ----GSN- ποτηρίου ποτηρίου ποτηρίου ποτήριον
071128 V- 3PAD-S-- πινέτω· πινέτω πινέτω πίνω
071129 RA ----NSM- ὁ ὁ ὁ ὁ
071129 C- -------- γὰρ γὰρ γάρ γάρ
071129 V- -PAPNSM- ἐσθίων ἐσθίων ἐσθίων ἐσθίω
071129 C- -------- καὶ καὶ καί καί
071129 V- -PAPNSM- πίνων πίνων πίνων πίνω
071129 N- ----ASN- κρίμα κρίμα κρίμα κρίμα
071129 RP ----DSM- ἑαυτῷ ἑαυτῷ ἑαυτῷ ἑαυτοῦ
071129 V- 3PAI-S-- ἐσθίει ἐσθίει ἐσθίει ἐσθίω
071129 C- -------- καὶ καὶ καί καί
071129 V- 3PAI-S-- πίνει πίνει πίνει πίνω
071129 D- -------- μὴ μὴ μή μή
071129 V- -PAPNSM- διακρίνων διακρίνων διακρίνων διακρίνω
071129 RA ----ASN- τὸ τὸ τό ὁ
071129 N- ----ASN- σῶμα. σῶμα σῶμα σῶμα
071130 P- -------- διὰ διὰ διά διά
071130 RD ----ASN- τοῦτο τοῦτο τοῦτο οὗτος
071130 P- -------- ἐν ἐν ἐν ἐν
071130 RP ----DP-- ὑμῖν ὑμῖν ὑμῖν σύ
071130 A- ----NPM- πολλοὶ πολλοὶ πολλοί πολύς
071130 A- ----NPM- ἀσθενεῖς ἀσθενεῖς ἀσθενεῖς ἀσθενής
071130 C- -------- καὶ καὶ καί καί
071130 A- ----NPM- ἄρρωστοι ἄρρωστοι ἄρρωστοι ἄρρωστος
071130 C- -------- καὶ καὶ καί καί
071130 V- 3PMI-P-- κοιμῶνται κοιμῶνται κοιμῶνται κοιμάομαι
071130 A- ----NPM- ἱκανοί. ἱκανοί ἱκανοί ἱκανός
071131 C- -------- εἰ εἰ εἰ εἰ
071131 C- -------- δὲ δὲ δέ δέ
071131 RP ----APM- ἑαυτοὺς ἑαυτοὺς ἑαυτούς ἑαυτοῦ
071131 V- 1IAI-P-- διεκρίνομεν, διεκρίνομεν διεκρίνομεν διακρίνω
071131 D- -------- οὐκ οὐκ οὐ οὐ
071131 X- -------- ἂν ἂν ἄν ἄν
071131 V- 1IPI-P-- ἐκρινόμεθα· ἐκρινόμεθα ἐκρινόμεθα κρίνω
071132 V- -PPPNPM- κρινόμενοι κρινόμενοι κρινόμενοι κρίνω
071132 C- -------- δὲ δὲ δέ δέ
071132 P- -------- ὑπὸ ὑπὸ ὑπό ὑπό
071132 N- ----GSM- κυρίου κυρίου κυρίου κύριος
071132 V- 1PPI-P-- παιδευόμεθα, παιδευόμεθα παιδευόμεθα παιδεύω
071132 C- -------- ἵνα ἵνα ἵνα ἵνα
071132 D- -------- μὴ μὴ μή μή
071132 P- -------- σὺν σὺν σύν σύν
071132 RA ----DSM- τῷ τῷ τῷ ὁ
071132 N- ----DSM- κόσμῳ κόσμῳ κόσμῳ κόσμος
071132 V- 1APS-P-- κατακριθῶμεν. κατακριθῶμεν κατακριθῶμεν κατακρίνω
071133 C- -------- Ὥστε, Ὥστε ὥστε ὥστε
071133 N- ----VPM- ἀδελφοί ἀδελφοί ἀδελφοί ἀδελφός
071133 RP ----GS-- μου, μου μου ἐγώ
071133 V- -PMPNPM- συνερχόμενοι συνερχόμενοι συνερχόμενοι συνέρχομαι
071133 P- -------- εἰς εἰς εἰς εἰς
071133 RA ----ASN- τὸ τὸ τό ὁ
071133 V- -AAN---- φαγεῖν φαγεῖν φαγεῖν ἐσθίω
071133 RP ----APM- ἀλλήλους ἀλλήλους ἀλλήλους ἀλλήλων
071133 V- 2PMD-P-- ἐκδέχεσθε. ἐκδέχεσθε ἐκδέχεσθε ἐκδέχομαι
071134 C- -------- εἴ εἴ εἰ εἰ
071134 RI ----NSM- τις τις τις τις
071134 V- 3PAI-S-- πεινᾷ, πεινᾷ πεινᾷ πεινάω
071134 P- -------- ἐν ἐν ἐν ἐν
071134 N- ----DSM- οἴκῳ οἴκῳ οἴκῳ οἶκος
071134 V- 3PAD-S-- ἐσθιέτω, ἐσθιέτω ἐσθιέτω ἐσθίω
071134 C- -------- ἵνα ἵνα ἵνα ἵνα
071134 D- -------- μὴ μὴ μή μή
071134 P- -------- εἰς εἰς εἰς εἰς
071134 N- ----ASN- κρίμα κρίμα κρίμα κρίμα
071134 V- 2PMS-P-- συνέρχησθε. συνέρχησθε συνέρχησθε συνέρχομαι
071134 RA ----APN- Τὰ Τὰ τά ὁ
071134 C- -------- δὲ δὲ δέ δέ
071134 A- ----APN- λοιπὰ λοιπὰ λοιπά λοιπός
071134 C- -------- ὡς ὡς ὡς ὡς
071134 X- -------- ἂν ἂν ἄν ἄν
071134 V- 1AAS-S-- ἔλθω ἔλθω ἔλθω ἔρχομαι
071134 V- 1FMI-S-- διατάξομαι. διατάξομαι διατάξομαι διατάσσω
